brand,shade_name,shade_code,undertone,shade_hex,finish,price_range,ingredients,ingredients_source,fragrance_free,hypoallergenic,derm_tested,where_to_buy,open_beauty_facts_url,source
Clinique,0.25,0,frio,#fbeed9,matte,$25-$29,Talc- Octyldodecyl Stearoyl Stearate- Zinc Stearate- Zinc Laurate- Dimethicone- Bentonite- Hdi/Trimethylol Hexyllactone Crosspolymer- Silica- Astrocaryum Murumuru Seed Butter- Glycerin- Squalane- Lauroyl Lysine- Hydrolyzed Soy Protein- Cetearyl Dimethicone Crosspolymer- Lecithin- Tocopheryl Acetate- Tetrahexyldecyl Ascorbate- Water- Magnesium Myristate- Potassium Sorbate- Coconut Acid- Tetrasodium Edta- Chlorphenesin- [+/- Mica- Titanium Dioxide (Ci 77891)- Iron Oxides (Ci 77491)- Iron Oxides (Ci 77492)- Iron Oxides (Ci 77499)- Ultramarines (Ci 77007)- Bismuth Oxychloride (Ci 77163)- Red 7 Lake (Ci 15850)- Blue 1 Lake (Ci 42090)- Carmine (Ci 75470)].,sephora,,,,https://www.sephora.com/product/beyond-perfecting-powder-foundation-concealer-P426374?icid2=products grid:p426374,,kaggle:utkarshx27/makeup-shades
Clinique,0.5,0,frio,#f7c9b2,matte,$25-$29,Talc- Octyldodecyl Stearoyl Stearate- Zinc Stearate- Zinc Laurate- Dimethicone- Bentonite- Hdi/Trimethylol Hexyllactone Crosspolymer- Silica- Astrocaryum Murumuru Seed Butter- Glycerin- Squalane- Lauroyl Lysine- Hydrolyzed Soy Protein- Cetearyl Dimethicone Crosspolymer- Lecithin- Tocopheryl Acetate- Tetrahexyldecyl Ascorbate- Water- Magnesium Myristate- Potassium Sorbate- Coconut Acid- Tetrasodium Edta- Chlorphenesin- [+/- Mica- Titanium Dioxide (Ci 77891)- Iron Oxides (Ci 77491)- Iron Oxides (Ci 77492)- Iron Oxides (Ci 77499)- Ultramarines (Ci 77007)- Bismuth Oxychloride (Ci 77163)- Red 7 Lake (Ci 15850)- Blue 1 Lake (Ci 42090)- Carmine (Ci 75470)].,sephora,,,,https://www.sephora.com/product/beyond-perfecting-powder-foundation-concealer-P426374?icid2=products grid:p426374,,kaggle:utkarshx27/makeup-shades
Clinique,02,02,frio,#e3b58c,matte,$25-$29,Talc- Octyldodecyl Stearoyl Stearate- Zinc Stearate- Zinc Laurate- Dimethicone- Bentonite- Hdi/Trimethylol Hexyllactone Crosspolymer- Silica- Astrocaryum Murumuru Seed Butter- Glycerin- Squalane- Lauroyl Lysine- Hydrolyzed Soy Protein- Cetearyl Dimethicone Crosspolymer- Lecithin- Tocopheryl Acetate- Tetrahexyldecyl Ascorbate- Water- Magnesium Myristate- Potassium Sorbate- Coconut Acid- Tetrasodium Edta- Chlorphenesin- [+/- Mica- Titanium Dioxide (Ci 77891)- Iron Oxides (Ci 77491)- Iron Oxides (Ci 77492)- Iron Oxides (Ci 77499)- Ultramarines (Ci 77007)- Bismuth Oxychloride (Ci 77163)- Red 7 Lake (Ci 15850)- Blue 1 Lake (Ci 42090)- Carmine (Ci 75470)].,sephora,,,,https://www.sephora.com/product/beyond-perfecting-powder-foundation-concealer-P426374?icid2=products grid:p426374,,kaggle:utkarshx27/makeup-shades
Clinique,04,04,frio,#e8bd99,matte,$25-$29,Talc- Octyldodecyl Stearoyl Stearate- Zinc Stearate- Zinc Laurate- Dimethicone- Bentonite- Hdi/Trimethylol Hexyllactone Crosspolymer- Silica- Astrocaryum Murumuru Seed Butter- Glycerin- Squalane- Lauroyl Lysine- Hydrolyzed Soy Protein- Cetearyl Dimethicone Crosspolymer- Lecithin- Tocopheryl Acetate- Tetrahexyldecyl Ascorbate- Water- Magnesium Myristate- Potassium Sorbate- Coconut Acid- Tetrasodium Edta- Chlorphenesin- [+/- Mica- Titanium Dioxide (Ci 77891)- Iron Oxides (Ci 77491)- Iron Oxides (Ci 77492)- Iron Oxides (Ci 77499)- Ultramarines (Ci 77007)- Bismuth Oxychloride (Ci 77163)- Red 7 Lake (Ci 15850)- Blue 1 Lake (Ci 42090)- Carmine (Ci 75470)].,sephora,,,,https://www.sephora.com/product/beyond-perfecting-powder-foundation-concealer-P426374?icid2=products grid:p426374,,kaggle:utkarshx27/makeup-shades
Clinique,06,06,frio,#e5bd9f,matte,$25-$29,Talc- Octyldodecyl Stearoyl Stearate- Zinc Stearate- Zinc Laurate- Dimethicone- Bentonite- Hdi/Trimethylol Hexyllactone Crosspolymer- Silica- Astrocaryum Murumuru Seed Butter- Glycerin- Squalane- Lauroyl Lysine- Hydrolyzed Soy Protein- Cetearyl Dimethicone Crosspolymer- Lecithin- Tocopheryl Acetate- Tetrahexyldecyl Ascorbate- Water- Magnesium Myristate- Potassium Sorbate- Coconut Acid- Tetrasodium Edta- Chlorphenesin- [+/- Mica- Titanium Dioxide (Ci 77891)- Iron Oxides (Ci 77491)- Iron Oxides (Ci 77492)- Iron Oxides (Ci 77499)- Ultramarines (Ci 77007)- Bismuth Oxychloride (Ci 77163)- Red 7 Lake (Ci 15850)- Blue 1 Lake (Ci 42090)- Carmine (Ci 75470)].,sephora,,,,https://www.sephora.com/product/beyond-perfecting-powder-foundation-concealer-P426374?icid2=products grid:p426374,,kaggle:utkarshx27/makeup-shades
Clinique,07,07,frio,#deb192,matte,$25-$29,Talc- Octyldodecyl Stearoyl Stearate- Zinc Stearate- Zinc Laurate- Dimethicone- Bentonite- Hdi/Trimethylol Hexyllactone Crosspolymer- Silica- Astrocaryum Murumuru Seed Butter- Glycerin- Squalane- Lauroyl Lysine- Hydrolyzed Soy Protein- Cetearyl Dimethicone Crosspolymer- Lecithin- Tocopheryl Acetate- Tetrahexyldecyl Ascorbate- Water- Magnesium Myristate- Potassium Sorbate- Coconut Acid- Tetrasodium Edta- Chlorphenesin- [+/- Mica- Titanium Dioxide (Ci 77891)- Iron Oxides (Ci 77491)- Iron Oxides (Ci 77492)- Iron Oxides (Ci 77499)- Ultramarines (Ci 77007)- Bismuth Oxychloride (Ci 77163)- Red 7 Lake (Ci 15850)- Blue 1 Lake (Ci 42090)- Carmine (Ci 75470)].,sephora,,,,https://www.sephora.com/product/beyond-perfecting-powder-foundation-concealer-P426374?icid2=products grid:p426374,,kaggle:utkarshx27/makeup-shades
Clinique,08,08,quente,#e2b185,matte,$25-$29,Talc- Octyldodecyl Stearoyl Stearate- Zinc Stearate- Zinc Laurate- Dimethicone- Bentonite- Hdi/Trimethylol Hexyllactone Crosspolymer- Silica- Astrocaryum Murumuru Seed Butter- Glycerin- Squalane- Lauroyl Lysine- Hydrolyzed Soy Protein- Cetearyl Dimethicone Crosspolymer- Lecithin- Tocopheryl Acetate- Tetrahexyldecyl Ascorbate- Water- Magnesium Myristate- Potassium Sorbate- Coconut Acid- Tetrasodium Edta- Chlorphenesin- [+/- Mica- Titanium Dioxide (Ci 77891)- Iron Oxides (Ci 77491)- Iron Oxides (Ci 77492)- Iron Oxides (Ci 77499)- Ultramarines (Ci 77007)- Bismuth Oxychloride (Ci 77163)- Red 7 Lake (Ci 15850)- Blue 1 Lake (Ci 42090)- Carmine (Ci 75470)].,sephora,,,,https://www.sephora.com/product/beyond-perfecting-powder-foundation-concealer-P426374?icid2=products grid:p426374,,kaggle:utkarshx27/makeup-shades
Clinique,09,09,frio,#ddab86,matte,$25-$29,Talc- Octyldodecyl Stearoyl Stearate- Zinc Stearate- Zinc Laurate- Dimethicone- Bentonite- Hdi/Trimethylol Hexyllactone Crosspolymer- Silica- Astrocaryum Murumuru Seed Butter- Glycerin- Squalane- Lauroyl Lysine- Hydrolyzed Soy Protein- Cetearyl Dimethicone Crosspolymer- Lecithin- Tocopheryl Acetate- Tetrahexyldecyl Ascorbate- Water- Magnesium Myristate- Potassium Sorbate- Coconut Acid- Tetrasodium Edta- Chlorphenesin- [+/- Mica- Titanium Dioxide (Ci 77891)- Iron Oxides (Ci 77491)- Iron Oxides (Ci 77492)- Iron Oxides (Ci 77499)- Ultramarines (Ci 77007)- Bismuth Oxychloride (Ci 77163)- Red 7 Lake (Ci 15850)- Blue 1 Lake (Ci 42090)- Carmine (Ci 75470)].,sephora,,,,https://www.sephora.com/product/beyond-perfecting-powder-foundation-concealer-P426374?icid2=products grid:p426374,,kaggle:utkarshx27/makeup-shades
Clinique,11,11,frio,#dba879,matte,$25-$29,Talc- Octyldodecyl Stearoyl Stearate- Zinc Stearate- Zinc Laurate- Dimethicone- Bentonite- Hdi/Trimethylol Hexyllactone Crosspolymer- Silica- Astrocaryum Murumuru Seed Butter- Glycerin- Squalane- Lauroyl Lysine- Hydrolyzed Soy Protein- Cetearyl Dimethicone Crosspolymer- Lecithin- Tocopheryl Acetate- Tetrahexyldecyl Ascorbate- Water- Magnesium Myristate- Potassium Sorbate- Coconut Acid- Tetrasodium Edta- Chlorphenesin- [+/- Mica- Titanium Dioxide (Ci 77891)- Iron Oxides (Ci 77491)- Iron Oxides (Ci 77492)- Iron Oxides (Ci 77499)- Ultramarines (Ci 77007)- Bismuth Oxychloride (Ci 77163)- Red 7 Lake (Ci 15850)- Blue 1 Lake (Ci 42090)- Carmine (Ci 75470)].,sephora,,,,https://www.sephora.com/product/beyond-perfecting-powder-foundation-concealer-P426374?icid2=products grid:p426374,,kaggle:utkarshx27/makeup-shades
Clinique,18,18,frio,#c89b71,matte,$25-$29,Talc- Octyldodecyl Stearoyl Stearate- Zinc Stearate- Zinc Laurate- Dimethicone- Bentonite- Hdi/Trimethylol Hexyllactone Crosspolymer- Silica- Astrocaryum Murumuru Seed Butter- Glycerin- Squalane- Lauroyl Lysine- Hydrolyzed Soy Protein- Cetearyl Dimethicone Crosspolymer- Lecithin- Tocopheryl Acetate- Tetrahexyldecyl Ascorbate- Water- Magnesium Myristate- Potassium Sorbate- Coconut Acid- Tetrasodium Edta- Chlorphenesin- [+/- Mica- Titanium Dioxide (Ci 77891)- Iron Oxides (Ci 77491)- Iron Oxides (Ci 77492)- Iron Oxides (Ci 77499)- Ultramarines (Ci 77007)- Bismuth Oxychloride (Ci 77163)- Red 7 Lake (Ci 15850)- Blue 1 Lake (Ci 42090)- Carmine (Ci 75470)].,sephora,,,,https://www.sephora.com/product/beyond-perfecting-powder-foundation-concealer-P426374?icid2=products grid:p426374,,kaggle:utkarshx27/makeup-shades
